Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
492,1.50375,3.72152E+16
493,1.57125,3.7605E+16
494,1.56625,3.79942E+16
495,1.61875,3.83973E+16
496,1.57375,3.87901E+16
497,1.58125,3.91854E+16
498,1.555,3.9575E+16
499,1.54875,3.99638E+16
500,1.535,4.035E+16
501,1.49625,4.07271E+16
502,1.49875,4.11056E+16
503,1.5375,4.14947E+16
504,1.4775,4.18693E+16
505,1.55375,4.22641E+16
506,1.60375,4.26724E+16
507,1.55375,4.30687E+16
508,1.52375,4.34581E+16
509,1.56625,4.38592E+16
510,1.54875,4.42566E+16
511,1.57125,4.46605E+16
512,1.59375,4.5071E+16
513,1.52625,4.5465E+16
514,1.49125,4.58506E+16
515,1.525,4.62457E+16
516,1.50375,4.66361E+16
517,1.3175,4.69788E+16
518,1.41125,4.73465E+16
519,1.4125,4.77154E+16
520,1.505,4.81091E+16
521,1.5325,4.85108E+16
522,1.545,4.89165E+16
523,1.49625,4.93102E+16
524,1.5725,4.97248E+16
525,1.5675,5.01388E+16
526,1.51125,5.05387E+16
527,1.3875,5.09066E+16
528,1.515,5.1309E+16
529,1.58375,5.17305E+16
530,1.5575,5.21458E+16
531,1.6075,5.25753E+16
532,1.58,5.29982E+16
533,1.45625,5.33886E+16
534,1.51875,5.37967E+16
535,1.55625,5.42155E+16
536,1.595,5.46457E+16
537,1.51625,5.50553E+16
538,1.555,5.54762E+16
539,1.52875,5.58907E+16
540,1.47875,5.62925E+16
541,1.44375,5.66854E+16
542,1.53,5.71026E+16
543,1.53,5.75206E+16
544,1.56,5.79476E+16
545,1.54125,5.83702E+16
546,1.525,5.87891E+16
547,1.5325,5.92108E+16
548,1.51125,5.96274E+16
549,1.5425,6.00535E+16
550,1.54,6.04796E+16
551,1.53625,6.09055E+16
552,1.55875,6.13384E+16
553,1.53,6.1764E+16
554,1.5475,6.21953E+16
555,1.555,6.26295E+16
556,1.52875,6.30572E+16
557,1.5,6.34775E+16
558,1.51375,6.39025E+16
559,1.455,6.43116E+16
560,1.4775,6.47279E+16
561,1.53875,6.51622E+16
562,1.4975,6.55856E+16
563,1.52875,6.60186E+16
564,1.515,6.64485E+16
565,1.5075,6.6877E+16
566,1.45375,6.7291E+16
567,1.515,6.77231E+16
568,1.50875,6.81543E+16
569,1.48375,6.8579E+16
570,1.47375,6.90017E+16
571,1.44625,6.94171E+16
572,1.50125,6.98491E+16
573,1.5175,7.02866E+16
574,1.50625,7.07216E+16
575,1.47375,7.11479E+16
576,1.46625,7.15728E+16
577,1.48875,7.2005E+16
578,1.45875,7.24292E+16
579,1.47125,7.28577E+16
580,1.49625,7.32943E+16
581,1.50375,7.37339E+16
582,1.5275,7.41811E+16
583,1.53875,7.46325E+16
584,1.53875,7.50846E+16
585,1.52625,7.55338E+16
586,1.49875,7.59756E+16
587,1.5125,7.64223E+16
588,1.46875,7.68568E+16
589,1.325,7.72494E+16
590,1.37125,7.76564E+16
591,1.445,7.80861E+16
592,1.43625,7.85139E+16
593,1.44625,7.89453E+16
594,1.44,7.93757E+16
595,1.43625,7.98056E+16
596,1.465,8.02449E+16
597,1.46875,8.0686E+16
598,1.46125,8.11256E+16
599,1.46125,8.1566E+16
600,1.46625,8.20086E+16
601,1.45,8.2447E+16
602,1.43625,8.2882E+16
603,1.46,8.33249E+16
604,1.48625,8.37766E+16
605,1.48875,8.42297E+16
606,1.4825,8.46817E+16
607,1.4875,8.51359E+16
608,1.48,8.55887E+16
609,1.47,8.6039E+16
610,1.46125,8.64875E+16
611,1.4625,8.69371E+16
612,1.475,8.73912E+16
613,1.45625,8.78403E+16
614,1.42375,8.82801E+16
615,1.4575,8.87311E+16
616,1.4325,8.9175E+16
617,1.41875,8.96154E+16
618,1.455,9.00678E+16
619,1.46875,9.05252E+16
620,1.47125,9.09841E+16
621,1.47125,9.14438E+16
622,1.42625,9.18901E+16
623,1.41125,9.23324E+16
624,1.40875,9.27747E+16
625,1.40125,9.32153E+16
626,1.405,9.36578E+16
627,1.425,9.41073E+16
628,1.37625,9.45421E+16
629,1.40125,9.49855E+16
630,1.395,9.54277E+16
631,1.40125,9.58725E+16
632,1.3775,9.63105E+16
633,1.435,9.67675E+16
634,1.42625,9.72224E+16
635,1.43375,9.76805E+16
636,1.42,9.81348E+16
637,1.455,9.86011E+16
638,1.4675,9.90721E+16
639,1.4575,9.95407E+16
640,1.43375,1.00002E+17
641,1.43,1.00464E+17
642,1.4325,1.00926E+17
643,1.44625,1.01394E+17
644,1.4425,1.01861E+17
645,1.44375,1.0233E+17
646,1.41375,1.02789E+17
647,1.4,1.03245E+17
648,1.38625,1.03697E+17
649,1.35625,1.0414E+17
650,1.36875,1.04587E+17
651,1.4225,1.05053E+17
652,1.39375,1.05511E+17
653,1.42125,1.05977E+17
654,1.405,1.0644E+17
655,1.33625,1.0688E+17
656,1.20875,1.07279E+17
657,1.25,1.07692E+17
658,1.36375,1.08144E+17
659,1.39,1.08604E+17
660,1.3975,1.09069E+17
661,1.39,1.09531E+17
662,1.38125,1.09991E+17
663,1.38125,1.10451E+17
664,1.3925,1.10917E+17
665,1.41625,1.1139E+17
666,1.41875,1.11866E+17
667,1.41125,1.12339E+17
668,1.41375,1.12815E+17
669,1.43375,1.13297E+17
670,1.42125,1.13776E+17
671,1.40875,1.14252E+17
672,1.395,1.14723E+17
673,1.40625,1.152E+17
674,1.4,1.15674E+17
675,1.39375,1.16148E+17
676,1.40625,1.16626E+17
677,1.40125,1.17103E+17
678,1.39875,1.1758E+17
679,1.39125,1.18055E+17
680,1.39,1.18531E+17
681,1.39,1.19007E+17
682,1.38875,1.19484E+17
683,1.38,1.19958E+17
684,1.37125,1.2043E+17
685,1.36625,1.20901E+17
686,1.296875,1.21348E+17
687,1.03125,1.21705E+17
688,1.100625,1.22086E+17
689,1.1275,1.22476E+17
690,1.17875,1.22886E+17
691,1.22875,1.23313E+17
692,1.26375,1.23753E+17
693,1.25875,1.24192E+17
694,1.24625,1.24627E+17
695,1.265,1.25069E+17
696,1.27125,1.25514E+17
697,1.3275,1.2598E+17
698,1.31875,1.26443E+17
699,1.2925,1.26897E+17
700,1.27875,1.27348E+17
701,1.2625,1.27793E+17
702,1.26125,1.28238E+17
703,1.2725,1.28688E+17
